# Chinese word frequency list (word\trank), rank 1 = most frequent.
# Source: hermitdave/FrequencyWords (MIT license), https://github.com/hermitdave/FrequencyWords
# Derived from OpenSubtitles 2018 zh_cn corpus (content/2018/zh_cn/zh_cn_50k.txt).
# Filtered to entries consisting solely of CJK ideographs, deduplicated, top 8000 by frequency.
通过	535
行动	536
啥	537
感到	538
最近	539
聽	540
各位	541
这边	542
待	543
掉	544
不好意思	545
猜	546
使	547
作为	548
于	549
狗	550
容易	551
沒有	552
直到	553
求	554
比赛	555
像是	556
麽	557
從	558
拉	559
拍	560
更好	561
曾	562
有趣	563
就算	564
活着	565
不會	566
努力	567
帮忙	568
留下	569
同意	570
参加	571
赢	572
死亡	573
每	574
上面	575
结果	576
消息	577
要求	578
理解	579
曾经	580
打开	581
收到	582
照顾	583
人类	584
主意	585
保持	586
成	587
杰克	588
存在	589
进	590
高	591
晚安	592
确实	593
全部	594
靠	595
呆	596
起	597
謝謝	598
讨厌	599
俩	600
硂	601
突然	602
多久	603
老婆	604
不再	605
任何人	606
开玩笑	607
放在	608
那個	609
进入	610
父母	611
总统	612
伤害	613
時候	614
回答	615
一位	616
三个	617
所有人	618
老师	619
早	620
除了	621
派	622
咱们	623
自由	624
可爱	625
日	626
抓住	627
路	628
谈	629
简单	630
身体	631
想法	632
早上	633
這麼	634
能够	635
昨晚	636
哥哥	637
我爱你	638
跳	639
秘密	640
休息	641
战争	642
其中	643
内	644
医院	645
每天	646
之间	647
大概	648
控制	649
刚	650
小孩	651
带来	652
停止	653
因此	654
花	655
证明	656
约翰	657
飞机	658
替	659
解释	660
律师	661
终于	662
耶	663
翻译	664
调查	665
告訴	666
为何	667
留在	668
糟糕	669
任务	670
武器	671
家里	672
头	673
来自	674
后面	675
小子	676
来到	677
解决	678
其他人	679
家人	680
坐下	681
怕	682
直接	683
办公室	684
停	685
放弃	686
鬼	687
別	688
加油	689
方法	690
游戏	691
即使	692
本	693
年轻	694
大人	695
使用	696
卖	697
老板	698
水	699
想想	700
坐在	701
目标	702
变得	703
可怕	704
拿到	705
考虑	706
个人	707
开枪	708
哭	709
睡觉	710
請	711
分钟	712
想到	713
等待	714
音乐	715
再说	716
聪明	717
姑娘	718
地球	719
感谢	720
命令	721
阻止	722
一只	723
消失	724
喜歡	725
心	726
第	727
冷静	728
似乎	729
联系	730
家庭	731
痛苦	732
城市	733
力量	734
对于	735
未来	736
男孩	737
三	738
博士	739
姐姐	740
疯狂	741
报告	742
放下	743
昨天	744
那天	745
還有	746
完美	747
答应	748
证据	749
本来	750
负责	751
检查	752
見	753
已經	754
一条	755
厉害	756
拥有	757
正常	758
并且	759
否则	760
該	761
以及	762
重新	763
忘记	764
这位	765
研究	766
附近	767
不然	768
太棒了	769
很棒	770
方正	771
字幕	772
脸	773
者	774
加入	775
於	776
唱	777
反正	778
不该	779
政府	780
快乐	781
身边	782
遇到	783
這裡	784
伟大	785
咖啡	786
接	787
仍然	788
门	789
开车	790
代表	791
陪	792
若	793
尸体	794
比较	795
一年	796
紧张	797
监狱	798
位置	799
随便	800
偷	801
安排	802
錢	803
表演	804
从没	805
除非	806
屁股	807
這些	808
酒	809
恩	810
老兄	811
支持	812
必要	813
人生	814
正确	815
跟着	816
杀死	817
交给	818
叔叔	819
還是	820
食物	821
事实	822
简直	823
安静	824
离	825
一场	826
妹妹	827
斯	828
美丽	829
再次	830
案子	831
下面	832
不够	833
哈	834
可怜	835
教	836
殺	837
首先	838
另外	839
提供	840
记住	841
听见	842
信	843
国王	844
面前	845
几乎	846
日子	847
那麼	848
舒服	849
原来	850
再也	851
操	852
纽约	853
早就	854
逼	855
有关	856
放开	857
信息	858
星期	859
不得不	860
发誓	861
钥匙	862
错误	863
放松	864
约会	865
船	866
打扰	867
女	868
手机	869
二	870
很大	871
到处	872
攻击	873
一份	874
第一	875
建议	876
日本	877
理由	878
事实上	879
一樣	880
阿	881
跳舞	882
生气	883
久	884
试试	885
信任	886
此	887
看过	888
差不多	889
原谅	890
神	891
经常	892
的确	893
之一	894
幸福	895
哎	896
便	897
马	898
算	899
吃饭	900
璶	901
正是	902
不必	903
最大	904
幸运	905
丢	906
我家	907
問題	908
长	909
東西	910
而是	911
住手	912
动物	913
弟弟	914
道歉	915
严重	916
人家	917
坚持	918
想象	919
按	920
礼物	921
每次	922
将军	923
剩下	924
有事	925
老爸	926
幫	927
系统	928
全都	929
组织	930
我會	931
敌人	932
看上去	933
應該	934
老天	935
认真	936
分	937
书	938
往	939
关心	940
坏	941
骗	942
中国	943
生意	944
上去	945
值得	946
搞定	947
寻找	948
派对	949
许多	950
学生	951
查理	952
下次	953
通知	954
救命	955
